Lote,Leitura
A01,3370
A02,4985
A03,3717
A-4,4383
A05,4201
A06,3967
A07,5156
A08,1542
A09,4001
A10,2403
A11,4954
a12,4480
A13,4789
A14,2864
A15,1479
A 16,4627
A17,4954
A18,2063
a-19,2097
A20,3343
B.1,2085
B02,2085
B.03,1934
B04,5416
B05,4967
B06,2758
B-07,2085
B08,1717
B09,5161
b10,5309
B11,3978
B12,3475
B13,3695
B-14,-13
B15,1480
B16,2362
B17,1780
B 18,5215
B19,2352
B20,4196
C01,3515
c 02,1437
K.03,4438
C04,2239
C05,3303
C06,2158
C.7,1894
C08,3035
C09,5110
C10,3641
c11,1343
C12,4255
C13,2608
C14,2362
C-15,5209
C16,1515
C17,1490
C 18,4438
C.19,1404
C20,2270
d01,1789
D02,3269
D03,4255
D04,3008
D-5,1447
D06,2343
D07,3035
D-08,4856
D09,1447
D10,1675
D11,2270
D.12,4770
D13,1427
D14,2158
d15,3873
D16,4700
D 17,1826
D18,1437
D19,4326
D20,4326
E01,2329
e02,5109
E03,5148
E 4,1888
E05,1888
E-06,5156
E07,3303
E08,4700
E09,2864
E10,2779
E.11,3163
E12,2270
E13,3442
E14,5209
E 15,4466
E16,1799
E17,5320
E18,3717
E-19,1751
E20,3350
f-01,2352
F02,2239
F03,1789
F04,2567
F.05,3717
F06,4939
F07,3008
F.08,3442
F09,1502
F 10,2487
F11,3303
F12,4317
f13,1437
f14,2674
F15,1404
F16,1437
F17,5320
F-18,2831
F19,2901
F20,4317
H 01,5148
G02,5259
G.03,1924
G04,2901
G 5,2158
G06,1956
G07,4196
G 8,2239
G09,2758
G.10,2239
G11,2522
g12,5243
G13,4627
G14,2239
G15,3873
G16,4916
G-17,2522
G18,4954
G19,3435
G20,3978
H 01,5148
H02,3350
H-03,2279
H04,2158
H05,4627
h06,4580
H07,2085
h 08,3717
H09,5310
H-10,5170
H11,1704
H12,2709
H13,5243
H14,4789
H.15,1619
H16,2487
H17,5156
H18,5215
H 19,3008
H20,4438
I.01,4001
J02,3475
V.03,1437
i04,3070
V-05,4069
I06,2403
I07,4672
I-08,4069
I09,3303
V.10,3873
I-11,2709
I12,6500
I.13,4383
V 14,1717
I15,3475
I16,3759
I 17,4700
I18,3269
I19,1404
I20,3343
J01,4939
j02,3932
J03,1934
J 4,2239
W05,1502
J-06,2198
J07,2864
J08,4069
J09,3801
J10,1717
J.11,1437
J12,2239
j13,3303
J14,1717
J 15,4557
J16,5156
J17,3475
J18,2063
J19,4360
J20,5259
k01,4627
K02,4438
K.03,4438
K04,5345
K-05,1479
